Company,Title,Salary,ID,URL
Virtium Viet Nam,"Automation Tester (QA QC, Python)",Thương lượng,1419,https://itviec.com/it-jobs/automation-tester-qa-qc-python-virtium-viet-nam-2023
JAMJA,Back-end Dev (PHP/Python/Ruby/NodeJS),"600 - 1,000 USD",1418,https://itviec.com/it-jobs/back-end-dev-php-python-ruby-nodejs-jamja-5540
"ISAAS CO., LTD",2 x Automation Test Developer (Python),"800 - 1,500 USD",1416,https://itviec.com/it-jobs/2-x-automation-test-developer-python-isaas-co-ltd-5956
SkyLab,DevOps Engineer - Service Operations,Thương lượng,1415,https://itviec.com/it-jobs/devops-engineer-service-operations-skylab-1258
Nissho Electronics,02 Team Leaders (Java/Python),Thương lượng,1413,https://itviec.com/it-jobs/02-team-leaders-java-python-nissho-electronics-2850
MISFIT,Back-end Engineer (Cloud),Thương lượng,1414,https://itviec.com/it-jobs/back-end-engineer-cloud-misfit-3755
Sentifi Vietnam,Senior Data Scientist,Thương lượng,1417,https://itviec.com/it-jobs/senior-data-scientist-sentifi-vietnam-4331
Advanced Engineering Management,Full Stack || AI || Python Developer,Thương lượng,1412,https://itviec.com/it-jobs/full-stack-ai-python-developer-advanced-engineering-management-1054
Công ty Cổ phần Công Nghệ Vmodev Hà Nội,Python Developer,"1 - 2 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 5 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1411,https://mywork.com.vn/tuyen-dung/viec-lam/1085786/python-developer.html
TECH JDI,Senior Full-stack Engineer (Web),"1,500 - 3,000 USD",1409,https://itviec.com/it-jobs/senior-full-stack-engineer-web-tech-jdi-0634
Innotech Vietnam Corporation,"Senior DevOps (Python, Linux, Java)",Up to $1800,1410,https://itviec.com/it-jobs/senior-devops-python-linux-java-innotech-vietnam-corporation-3634
Zinio,Sr. Automation QC Engineer,Thương lượng,1406,https://itviec.com/it-jobs/sr-automation-qc-engineer-zinio-5600
TQS GROUP,"Back-end Developer (Java, Python)","Up to 1,300 usd",1408,https://itviec.com/it-jobs/back-end-developer-java-python-tqs-group-1210
"Hyakusenrenma, Inc.",Back-end Engineers (Ruby / Python / PHP),"600 - 1,100 USD",1407,https://itviec.com/it-jobs/back-end-engineers-ruby-python-php-hyakusenrenma-inc-5817
ICADO,"Back-End Developer (Java, Python)",20 mil - 25 mil vnd,1405,https://itviec.com/it-jobs/back-end-developer-java-python-icado-1955
Giao Hàng Nhanh (GHN),"Sr. Backend Developer (NodeJS,Python,Go)","1,000 - 1,400 USD",1403,https://itviec.com/it-jobs/sr-backend-developer-nodejs-python-go-giao-hang-nhanh-ghn-5257
Giao Hàng Nhanh (GHN),"Sr. Backend Developer (NodeJS,Python,Go)","1,000 - 1,400 USD",1403,https://itviec.com/it-jobs/sr-backend-developer-nodejs-python-go-giao-hang-nhanh-ghn-5257
Tenpoint7,SENIOR DATA ENGINEER,Thương lượng,1401,https://itviec.com/it-jobs/senior-data-engineer-tenpoint7-2534
Keaz,Back-end/Front-end Developer (JS/Python),Thương lượng,1404,https://itviec.com/it-jobs/full-stack-developer-python-angularjs-keaz-5422
Virtium Viet Nam,Automation Testers,Thương lượng,1400,https://itviec.com/it-jobs/automation-testers-virtium-viet-nam-3727
TECH JDI,Engineering Manager,Thương lượng,1399,https://itviec.com/it-jobs/engineering-manager-tech-jdi-3101
Infinity Blockchain Labs (IBL),Full-stack Engineers (Python/JavaScript),"2,500 - 3,500 USD",1398,https://itviec.com/it-jobs/full-stack-engineers-python-javascript-infinity-blockchain-labs-ibl-1518
BlueSails,Backend Developer (Nodejs/Python/Golang),Thương lượng,1396,https://itviec.com/it-jobs/backend-developer-nodejs-python-golang-bluesails-0805
CITICOM,"Software Developer (.Net, Python, SQL)",Thương lượng,1397,https://itviec.com/it-jobs/software-developer-net-python-sql-citicom-0914
"HD WEBSOFT Co., Ltd",2 Python Developers,Thương lượng,1395,https://mywork.com.vn/tuyen-dung/viec-lam/1084272/2-python-developers.html
BAVE (B-TEK),"Python Developer (HTML5, JavaScript)",Thương lượng,1394,https://itviec.com/it-jobs/python-developer-html5-javascript-bave-b-tek-2548
FITi,Python Developer (JavaScript),Thương lượng,1391,https://itviec.com/it-jobs/python-developer-javascript-fiti-1502
Officience,Python Developer,Thương lượng,1390,https://itviec.com/it-jobs/python-developer-officience-0000
Techcom Securities,"DevOps Engineer (Python, Linux, AWS)",Thương lượng,1392,https://itviec.com/it-jobs/devops-engineer-python-linux-aws-techcom-securities-0703
Blueseed,"Data Engineer (Analytics, Big data)","1,000 - 1,500 USD",1389,https://itviec.com/it-jobs/big-data-engineer-1-000-1-500-usd-blueseed-2221
Trusting Social,10 Software Engineer (Java/Python/Ruby),Up to $7000,1393,https://itviec.com/it-jobs/10-software-engineer-java-python-ruby-trusting-social-0710
Robert Bosch Engineering And Business Solutions,Senior Python/Javascripts/C++ Engineer,Thương lượng,1388,https://itviec.com/it-jobs/senior-python-javascripts-c-engineer-robert-bosch-engineering-and-business-solutions-5429
FPT Telecom,"Back-end Dev (C++, Python, Lua, Embeded)","500 - 1,000 USD",1386,https://itviec.com/it-jobs/back-end-dev-c-python-lua-embeded-fpt-telecom-5127
Kyanon Digital,02 Senior/Mid/Junior Python Developers,Thương lượng,1387,https://itviec.com/it-jobs/02-senior-mid-python-developers-kyanon-digital-3022
Hoang Duong Trading & Service,Linux System Administrator,Thương lượng,1385,https://itviec.com/it-jobs/linux-system-administrator-hoang-duong-trading-service-1100
Kyanon Digital,Senior/Mid-Senior Python Developer,Thương lượng,1384,https://itviec.com/it-jobs/senior-mid-senior-python-developer-kyanon-digital-4915
FITi,Junior Python Developer,"5 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 7 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1383,https://mywork.com.vn/tuyen-dung/viec-lam/1081578/junior-python-developer.html
QUOINE,QA Engineer,"Up to 1,500 usd",1382,https://itviec.com/it-jobs/qa-engineer-quoine-2345
FPT Telecom,"Back end Dev (C++, Python, Lua, Embeded)",500 - 800 USD,1381,https://itviec.com/it-jobs/back-end-dev-c-python-lua-embeded-fpt-telecom-5734
Robert Bosch Engineering And Business Solutions,Infrastructure Specialist,Thương lượng,1380,https://itviec.com/it-jobs/infrastructure-specialist-robert-bosch-engineering-and-business-solutions-3031
LINKBYNET VIETNAM,Database Engineer (DBA) Oracle expertise,Thương lượng,1378,https://itviec.com/it-jobs/database-admin-dba-oracle-expertise-linkbynet-vietnam-3127
Knorex,Data Scientist,Thương lượng,1379,https://itviec.com/it-jobs/data-scientist-knorex-3813
ZALORA Group,"05 Software Developers (PHP,Java,Python)","1,000 - 2,000 USD",1377,https://itviec.com/it-jobs/05-software-developers-php-java-python-zalora-group-1545
TINYpulse,Data Engineer,Thương lượng,1376,https://itviec.com/it-jobs/data-engineer-tinypulse-1812
CITICOM,Sr. IT Software (C/C#/.Net/Python/PHP),Thương lượng,1375,https://itviec.com/it-jobs/sr-it-software-c-c-net-python-php-citicom-3810
Công Ty Cổ Phần VCCORP,Python Full Stack Developer - VCCloud,Thương lượng,1374,https://careerbuilder.vn/vi/tim-viec-lam/python-full-stack-developer-vccloud.35ACF0B4.html
Công Ty Cổ Phần VCCORP,Python Full Stack Developer - VCCloud,Thương lượng,1374,https://careerbuilder.vn/vi/tim-viec-lam/python-full-stack-developer-vccloud.35ACF0B4.html
Infinity Blockchain Labs,Technical Leader,Thương lượng,1371,https://careerbuilder.vn/vi/tim-viec-lam/technical-leader.35ACECE7.html
MegaCEO,Software Development Programmer (Open stack;Python;N2; USD1000; HF2285),700 - 1.000|USD,1372,https://careerbuilder.vn/vi/tim-viec-lam/software-development-programmer-open-stack-python-n2-usd1000-hf2285.35ACECB9.html
VNDIRECT,Python Developer - Up to 2000$,Thương lượng,1370,https://itviec.com/it-jobs/python-developer-up-to-2000-vndirect-5523
Công ty TNHH Yusen Logistics (Viet Nam),IT Solution Staff,Thương lượng,1367,https://careerbuilder.vn/vi/tim-viec-lam/it-solution-staff.35ACD1D7.html
Titan Technology Corporation,System Admin,Thương lượng,1368,https://itviec.com/it-jobs/system-admin-titan-technology-corporation-2625
Tradably,"Full-stack web dev (ReactJS, Python)",Thương lượng,1369,https://itviec.com/it-jobs/full-stack-web-dev-reactjs-python-tradably-1505
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1365,https://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35ACE3D5.html
Deliveree On-demand Logistics (southeast Asia),"Data Engineer (SQL, PostgreSQL, Python)",Thương lượng,1366,https://itviec.com/it-jobs/data-engineer-sql-postgresql-python-deliveree-on-demand-logistics-southeast-asia-5952
Công ty Tài Chính Cổ Phần Điện Lực  (EVN Finance),IT DevOps Specialist,Thương lượng,1361,https://careerbuilder.vn/vi/tim-viec-lam/it-devops-specialist.35ACE1F1.html
Emotiv Technology Vietnam,QA Automation Engineer (above 14m VND),Above 14m vnd,1362,https://itviec.com/it-jobs/qa-automation-engineer-above-14m-vnd-emotiv-technology-vietnam-2705
NIVASOFTWARE,Lập Trình Python,"7 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 0 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1363,https://mywork.com.vn/tuyen-dung/viec-lam/1074566/lap-trinh-python.html
CÔNG TY CP GIÁO DỤC TINH VÂN - TINHVAN EDUCATION (TVE),"Developer (.net, Python. PHP,..)","8 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 5 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1364,https://mywork.com.vn/tuyen-dung/viec-lam/1074567/developer-(net-python-php).html
Trobz,"Odoo Developer (ERP, Python)",Thương lượng,1359,https://itviec.com/it-jobs/odoo-developer-erp-python-trobz-1854
CÔNG TY CỔ PHẦN VIỄN THÔNG TINH VÂN - TINHVAN TELECOM (TVT),"Developer (.net, Python. PHP,..) 400-700$","1 - 2 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 5 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1360,https://mywork.com.vn/tuyen-dung/viec-lam/1074168/developer-(net-python-php)-400700$.html
Emotiv Technology Vietnam,Cloud Software Engineer (Python - 02),"500 - 1,500 USD",1358,https://itviec.com/it-jobs/cloud-software-engineer-python-02-emotiv-technology-vietnam-4349
Trobz,Odoo Developer,Thương lượng,1357,https://itviec.com/it-jobs/odoo-developer-trobz-3944
ZALORA Group,Data Engineer (Data Science team),"1,000 - 2,000 USD",1355,https://itviec.com/it-jobs/data-engineer-data-science-team-zalora-group-5806
Giao hàng tiết kiệm,[Hanoi] Chuyên viên R&D,800 - 1.500|USD,1354,https://careerbuilder.vn/vi/tim-viec-lam/hanoi-chuyen-vien-r-d.35ACDB30.html
Inspectorio,IoT Technical Lead - Up to $5K,"Up to 5,000 usd",1356,https://itviec.com/it-jobs/iot-technical-lead-up-to-5k-inspectorio-1710
RANGSTRUP IT Vietnam,4 x Sr Developers (C#/JavaScript/Python),"1,000 - 2,500 USD",1353,https://itviec.com/it-jobs/4-x-sr-developers-c-javascript-python-rangstrup-it-vietnam-5513
Copyrobo,System Engineer AWS ($1300+2 Bonus),"1,000 - 1,300 USD",1351,https://itviec.com/it-jobs/system-engineer-1300-2-month-bonus-copyrobo-5547
LINKBYNET VIETNAM,"Windows Engineer (Python, HTML5, MySQL)",Thương lượng,1352,https://itviec.com/it-jobs/windows-engineer-linkbynet-vietnam-3316
HUNGRY BEAR | Peko Peko,ODOO/ OPEN ERP Developer,Thương lượng,1350,https://itviec.com/it-jobs/odoo-open-erp-developer-hungry-bear-peko-peko-0451
Rainmaker Labs,Web Developer – Python - Up to $2000,"1,500 - 2,000 USD",1347,https://itviec.com/it-jobs/web-developer-python-up-to-2000-rainmaker-labs-0759
Rainmaker Labs,Web Developer – Python - Up to $3000,Up to $3000,1349,https://itviec.com/it-jobs/web-developer-python-up-to-3000-rainmaker-labs-5840
LogiGear,Software Automation Testing Trainee,Thương lượng,1345,https://careerbuilder.vn/vi/tim-viec-lam/software-automation-testing-trainee.35ACD178.html
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên quản trị hệ thống,Thương lượng,1346,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-he-thong.35ACD270.html
Viettel Cyber Security,Cloud Engineer (Python),"800 - 1,500 USD",1348,https://itviec.com/it-jobs/cloud-engineer-python-viettel-cyber-security-1648
